from,to,distance
scene_classification/data/seg_train/sea/603.jpg,scene_classification/data/seg_train/sea/10237.jpg,0.760545
scene_classification/data/seg_train/mountain/19714.jpg,scene_classification/data/seg_train/glacier/17523.jpg,0.760416
scene_classification/data/seg_train/forest/1677.jpg,scene_classification/data/seg_train/forest/3141.jpg,0.760384
scene_classification/data/seg_train/buildings/2928.jpg,scene_classification/data/seg_train/buildings/11855.jpg,0.760379
scene_classification/data/seg_train/buildings/1291.jpg,scene_classification/data/seg_train/buildings/17983.jpg,0.760316
scene_classification/data/seg_train/buildings/6757.jpg,scene_classification/data/seg_train/buildings/9918.jpg,0.760314
scene_classification/data/seg_train/sea/11694.jpg,scene_classification/data/seg_train/sea/19514.jpg,0.760300
scene_classification/data/seg_train/buildings/17981.jpg,scene_classification/data/seg_train/buildings/3297.jpg,0.760284
scene_classification/data/seg_train/street/2021.jpg,scene_classification/data/seg_train/street/11288.jpg,0.760267
scene_classification/data/seg_train/sea/9507.jpg,scene_classification/data/seg_train/sea/6744.jpg,0.760246
scene_classification/data/seg_train/buildings/2104.jpg,scene_classification/data/seg_train/street/17555.jpg,0.760148
scene_classification/data/seg_train/glacier/445.jpg,scene_classification/data/seg_train/mountain/5937.jpg,0.760092
scene_classification/data/seg_train/forest/10138.jpg,scene_classification/data/seg_train/forest/3411.jpg,0.760083
scene_classification/data/seg_train/buildings/9540.jpg,scene_classification/data/seg_train/buildings/12070.jpg,0.760044
scene_classification/data/seg_train/sea/14460.jpg,scene_classification/data/seg_train/sea/4471.jpg,0.760005
scene_classification/data/seg_train/buildings/412.jpg,scene_classification/data/seg_train/buildings/7267.jpg,0.760002
scene_classification/data/seg_train/forest/7059.jpg,scene_classification/data/seg_train/forest/13637.jpg,0.759953
scene_classification/data/seg_train/glacier/9406.jpg,scene_classification/data/seg_train/mountain/16801.jpg,0.759920
scene_classification/data/seg_train/buildings/13796.jpg,scene_classification/data/seg_train/street/10643.jpg,0.759861
scene_classification/data/seg_train/sea/6756.jpg,scene_classification/data/seg_train/sea/17837.jpg,0.759847
scene_classification/data/seg_train/street/10097.jpg,scene_classification/data/seg_train/street/3503.jpg,0.759773
scene_classification/data/seg_train/sea/11526.jpg,scene_classification/data/seg_train/sea/12568.jpg,0.759752
scene_classification/data/seg_train/mountain/10483.jpg,scene_classification/data/seg_train/mountain/18218.jpg,0.759752
scene_classification/data/seg_train/sea/1673.jpg,scene_classification/data/seg_train/sea/6381.jpg,0.759738
scene_classification/data/seg_train/sea/6381.jpg,scene_classification/data/seg_train/sea/1673.jpg,0.759738
scene_classification/data/seg_train/sea/18634.jpg,scene_classification/data/seg_train/sea/2036.jpg,0.759719
scene_classification/data/seg_train/sea/9519.jpg,scene_classification/data/seg_train/sea/2272.jpg,0.759702
scene_classification/data/seg_train/buildings/3825.jpg,scene_classification/data/seg_train/buildings/19151.jpg,0.759673
scene_classification/data/seg_train/glacier/6262.jpg,scene_classification/data/seg_train/glacier/18221.jpg,0.759663
scene_classification/data/seg_train/sea/4403.jpg,scene_classification/data/seg_train/glacier/12503.jpg,0.759597
scene_classification/data/seg_train/sea/15412.jpg,scene_classification/data/seg_train/sea/9171.jpg,0.759596
scene_classification/data/seg_train/buildings/5952.jpg,scene_classification/data/seg_train/buildings/2171.jpg,0.759583
scene_classification/data/seg_train/sea/603.jpg,scene_classification/data/seg_train/sea/12929.jpg,0.759467
scene_classification/data/seg_train/buildings/18283.jpg,scene_classification/data/seg_train/buildings/9622.jpg,0.759447
