from,to,distance
scene_classification/data/seg_train/buildings/5069.jpg,scene_classification/data/seg_train/street/2764.jpg,1.000000
scene_classification/data/seg_train/buildings/4551.jpg,scene_classification/data/seg_train/street/1495.jpg,1.000000
scene_classification/data/seg_train/sea/19255.jpg,scene_classification/data/seg_train/sea/7872.jpg,1.000000
scene_classification/data/seg_train/forest/15657.jpg,scene_classification/data/seg_train/forest/18807.jpg,1.000000
scene_classification/data/seg_train/street/17693.jpg,scene_classification/data/seg_train/street/7618.jpg,1.000000
scene_classification/data/seg_train/glacier/19319.jpg,scene_classification/data/seg_train/mountain/6518.jpg,1.000000
scene_classification/data/seg_train/buildings/9769.jpg,scene_classification/data/seg_train/street/7293.jpg,1.000000
scene_classification/data/seg_train/glacier/10234.jpg,scene_classification/data/seg_train/mountain/7654.jpg,1.000000
scene_classification/data/seg_train/mountain/7037.jpg,scene_classification/data/seg_train/sea/6337.jpg,1.000000
scene_classification/data/seg_train/forest/8688.jpg,scene_classification/data/seg_train/forest/8689.jpg,1.000000
scene_classification/data/seg_train/glacier/16827.jpg,scene_classification/data/seg_train/mountain/15770.jpg,1.000000
scene_classification/data/seg_train/street/3492.jpg,scene_classification/data/seg_train/street/373.jpg,1.000000
scene_classification/data/seg_train/glacier/16044.jpg,scene_classification/data/seg_train/mountain/17775.jpg,1.000000
scene_classification/data/seg_train/glacier/8608.jpg,scene_classification/data/seg_train/mountain/19959.jpg,0.999999
scene_classification/data/seg_train/glacier/8191.jpg,scene_classification/data/seg_train/mountain/16696.jpg,0.999999
scene_classification/data/seg_train/mountain/1743.jpg,scene_classification/data/seg_train/mountain/7865.jpg,0.999982
scene_classification/data/seg_train/mountain/7865.jpg,scene_classification/data/seg_train/mountain/1743.jpg,0.999982
scene_classification/data/seg_train/mountain/3598.jpg,scene_classification/data/seg_train/mountain/16479.jpg,0.999942
scene_classification/data/seg_train/mountain/16479.jpg,scene_classification/data/seg_train/mountain/3598.jpg,0.999942
scene_classification/data/seg_train/mountain/15434.jpg,scene_classification/data/seg_train/mountain/6295.jpg,0.999902
scene_classification/data/seg_train/mountain/6295.jpg,scene_classification/data/seg_train/mountain/15434.jpg,0.999902
