index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
0,150,150,256,7468.7095,117.7490,0.0000,255.0000,60.2932,22337,1.0000
1,150,150,256,1168.8364,162.6711,0.0000,255.0000,81.8717,10295,1.0000
2,150,150,256,4949.0903,108.3794,0.0000,255.0000,63.3027,18143,1.0000
3,150,150,253,1658.5786,131.0281,0.0000,255.0000,62.1239,12449,1.0000
4,150,150,256,3146.8311,113.7929,0.0000,255.0000,45.5091,16377,1.0000
5,150,150,256,13873.5410,93.0866,0.0000,255.0000,66.0538,24750,1.0000
6,150,150,243,834.5847,132.7105,3.0000,255.0000,55.7064,10908,0.9767
7,150,150,256,1057.6238,75.6175,0.0000,255.0000,53.0183,11534,1.0000
8,150,150,256,1503.8087,158.8583,0.0000,255.0000,51.5440,10860,1.0000
9,150,150,256,3856.3589,93.4508,0.0000,255.0000,59.3360,15915,1.0000
10,150,150,256,1312.8530,89.6119,0.0000,255.0000,50.9266,12419,1.0000
11,150,150,256,5452.6831,145.7573,0.0000,255.0000,70.9929,17872,1.0000
12,150,150,254,533.8202,140.4573,0.0000,254.0000,55.7601,6241,1.0000
13,150,150,256,4522.5337,98.9918,0.0000,255.0000,62.0164,16977,1.0000
14,150,150,256,4029.1831,138.5249,0.0000,255.0000,53.3092,15033,1.0000
15,150,150,256,4577.0264,146.0072,0.0000,255.0000,50.4017,16422,1.0000
16,150,150,256,7605.7139,90.4962,0.0000,255.0000,53.0333,22610,1.0000
17,150,150,256,6471.4595,67.0378,0.0000,255.0000,45.2082,22152,1.0000
18,150,150,256,3284.3735,125.7304,0.0000,255.0000,50.7677,12391,1.0000
19,150,150,256,2416.1389,108.2012,0.0000,255.0000,49.8155,14849,1.0000
20,150,150,256,7452.4126,79.9104,0.0000,255.0000,59.3727,19097,1.0000
21,150,150,256,5408.7749,93.6606,0.0000,255.0000,72.2686,16761,1.0000
22,150,150,256,10528.9766,122.0207,0.0000,255.0000,83.8883,22106,1.0000
23,150,150,256,9226.5049,134.8775,0.0000,255.0000,74.1826,20181,1.0000
24,150,150,256,8065.6782,107.9438,0.0000,255.0000,59.2379,20239,1.0000
25,150,150,256,6850.2090,121.1380,0.0000,255.0000,77.9104,18149,1.0000
26,150,150,256,10141.6113,77.8647,0.0000,255.0000,46.3634,22445,1.0000
27,150,150,241,890.7984,86.4070,0.0000,254.0000,53.7446,9211,1.0000
28,150,150,256,836.1024,136.7776,0.0000,255.0000,92.3071,9815,1.0000
29,150,150,196,63.3053,135.4003,33.0000,235.0000,53.6720,5885,0.7537
30,150,150,256,2031.1117,111.5546,0.0000,255.0000,73.7299,12962,1.0000
31,150,150,256,3000.0576,95.5108,0.0000,255.0000,67.0531,12174,1.0000
32,150,150,252,1924.3390,98.5131,0.0000,255.0000,43.7746,14254,1.0000
33,150,150,256,4545.0166,122.9970,0.0000,255.0000,57.4371,16010,1.0000
34,150,150,256,687.9076,113.0168,0.0000,255.0000,58.9869,7437,1.0000
35,150,150,256,1409.6509,94.2025,0.0000,255.0000,50.9999,12239,1.0000
36,150,150,255,3049.9128,124.7418,0.0000,255.0000,45.3287,13039,1.0000
37,150,150,256,1643.8878,138.0990,0.0000,255.0000,65.3747,10889,1.0000
38,150,150,256,1396.5804,104.9375,0.0000,255.0000,84.3284,14282,1.0000
39,150,150,256,1699.5408,143.2542,0.0000,255.0000,53.8302,12715,1.0000
40,150,150,256,8307.0605,96.4850,0.0000,255.0000,61.3949,20885,1.0000
41,150,150,256,4989.6245,136.6039,0.0000,255.0000,72.9170,16785,1.0000
42,150,150,256,2926.1768,123.7922,0.0000,255.0000,91.2093,14065,1.0000
43,150,150,256,9732.7324,116.2744,0.0000,255.0000,47.3418,19718,1.0000
44,150,150,256,3592.5479,126.6441,0.0000,255.0000,70.9649,15779,1.0000
45,150,150,251,1488.0342,146.0639,0.0000,255.0000,53.2325,11459,1.0000
46,150,150,256,4149.2139,54.3810,0.0000,255.0000,52.9253,15501,1.0000
47,150,150,244,2758.6704,110.9599,0.0000,245.0000,44.6716,15886,1.0000
48,150,150,256,3586.5830,144.2280,0.0000,255.0000,61.1425,11814,1.0000
49,150,150,256,5040.8862,142.4621,0.0000,255.0000,55.5263,15970,1.0000
50,150,150,256,2854.8743,120.8691,0.0000,255.0000,64.4568,14058,1.0000
51,150,150,256,5896.7739,46.4713,0.0000,255.0000,46.5840,18794,1.0000
52,150,150,256,1586.6803,116.0103,0.0000,255.0000,69.2724,9967,1.0000
53,150,150,256,4734.7607,141.5534,0.0000,255.0000,50.1433,14209,1.0000
54,150,150,256,7503.6890,52.9767,0.0000,255.0000,49.5886,20953,1.0000
55,150,150,256,2739.9673,124.1060,0.0000,255.0000,37.7052,15912,1.0000
56,150,150,256,3597.7725,152.2135,0.0000,255.0000,56.3455,14084,1.0000
57,150,150,238,2454.7212,168.5417,5.0000,255.0000,46.4533,15316,0.9615
58,150,150,256,3204.3645,70.1351,0.0000,255.0000,67.6087,14882,1.0000
59,150,150,255,1664.1163,64.3027,0.0000,255.0000,69.3885,12458,1.0000
60,150,150,256,10380.9736,78.9527,0.0000,255.0000,52.2606,24437,1.0000
61,150,150,256,5017.0786,125.8614,0.0000,255.0000,88.8697,14541,1.0000
62,150,150,256,4587.8105,95.6289,0.0000,255.0000,51.5411,13876,1.0000
63,150,150,256,6091.8340,141.4831,0.0000,255.0000,91.6406,15847,1.0000
64,150,150,256,8699.3477,111.5173,0.0000,255.0000,52.7146,21473,1.0000
65,150,150,256,815.3313,110.3147,0.0000,255.0000,70.6730,11536,1.0000
66,150,150,256,6569.7549,118.5345,0.0000,255.0000,61.4432,18531,1.0000
67,150,150,256,6315.6533,107.4614,0.0000,255.0000,79.9347,15638,1.0000
68,150,150,256,10352.7979,107.8412,0.0000,255.0000,55.3706,20393,1.0000
69,150,150,256,3760.7817,159.5988,0.0000,255.0000,94.2031,15648,1.0000
70,150,150,256,10542.4395,127.5970,0.0000,255.0000,65.6536,20552,1.0000
71,150,150,256,5836.7158,87.0879,0.0000,255.0000,61.5505,18730,1.0000
