component_id,mean,sum,count,min,max
22828,1.934972,2.000000,0.967486,0.967486,0.967486
10214,1.993671,2.000000,0.996836,0.996836,0.996836
10210,1.957336,2.000000,0.978668,0.978668,0.978668
10206,1.988752,2.000000,0.994376,0.994376,0.994376
10164,1.971431,2.000000,0.985715,0.985715,0.985715
10141,5.864027,6.000000,0.977338,0.968114,0.995622
10105,3.910439,4.000000,0.977610,0.974018,0.981202
10059,1.942542,2.000000,0.971271,0.971271,0.971271
9992,1.931529,2.000000,0.965764,0.965764,0.965764
9935,1.972902,2.000000,0.986451,0.986451,0.986451
9918,1.994022,2.000000,0.997011,0.997011,0.997011
9908,1.955618,2.000000,0.977809,0.977809,0.977809
9896,1.995115,2.000000,0.997558,0.997558,0.997558
9890,1.979918,2.000000,0.989959,0.989959,0.989959
9880,1.950816,2.000000,0.975408,0.975408,0.975408
9861,1.937230,2.000000,0.968615,0.968615,0.968615
9697,1.940605,2.000000,0.970303,0.970303,0.970303
9669,1.993096,2.000000,0.996548,0.996548,0.996548
9661,1.973320,2.000000,0.986660,0.986660,0.986660
9638,1.929739,2.000000,0.964870,0.964870,0.964870
9637,1.983049,2.000000,0.991524,0.991524,0.991524
9625,1.940935,2.000000,0.970467,0.970467,0.970467
9615,1.938966,2.000000,0.969483,0.969483,0.969483
9593,1.938408,2.000000,0.969204,0.969204,0.969204
9525,1.971564,2.000000,0.985782,0.985782,0.985782
9457,1.977596,2.000000,0.988798,0.988798,0.988798
9423,2.000000,2.000000,1.000000,1.000000,1.000000
8933,1.961432,2.000000,0.980716,0.980716,0.980716
8869,2.000000,2.000000,1.000000,1.000000,1.000000
8833,2.000000,2.000000,1.000000,1.000000,1.000000
8818,2.000000,2.000000,1.000000,1.000000,1.000000
8312,1.976119,2.000000,0.988060,0.988060,0.988060
7600,1.996195,2.000000,0.998098,0.998098,0.998098
7556,1.946935,2.000000,0.973468,0.973468,0.973468
7295,1.926434,2.000000,0.963217,0.963217,0.963217
7138,1.922186,2.000000,0.961093,0.961093,0.961093
7130,1.927510,2.000000,0.963755,0.963755,0.963755
7101,1.960345,2.000000,0.980173,0.980173,0.980173
7041,1.966969,2.000000,0.983484,0.983484,0.983484
6968,2.000000,2.000000,1.000000,1.000000,1.000000
6904,1.938065,2.000000,0.969032,0.969032,0.969032
6839,1.939217,2.000000,0.969609,0.969609,0.969609
6794,2.000000,2.000000,1.000000,1.000000,1.000000
6627,1.928671,2.000000,0.964336,0.964336,0.964336
6588,1.924331,2.000000,0.962166,0.962166,0.962166
6583,1.931240,2.000000,0.965620,0.965620,0.965620
6549,1.927119,2.000000,0.963560,0.963560,0.963560
6544,3.846642,4.000000,0.961660,0.961643,0.961678
6518,1.951378,2.000000,0.975689,0.975689,0.975689
6451,3.856133,4.000000,0.964033,0.963414,0.964652
6373,2.000000,2.000000,1.000000,1.000000,1.000000
6095,1.977276,2.000000,0.988638,0.988638,0.988638
6046,1.939663,2.000000,0.969832,0.969832,0.969832
6031,2.000000,2.000000,1.000000,1.000000,1.000000
5923,1.965257,2.000000,0.982628,0.982628,0.982628
5912,1.972535,2.000000,0.986268,0.986268,0.986268
5706,1.976914,2.000000,0.988457,0.988457,0.988457
5686,2.000000,2.000000,1.000000,1.000000,1.000000
5621,1.994878,2.000000,0.997439,0.997439,0.997439
5486,1.929762,2.000000,0.964881,0.964881,0.964881
5455,1.991617,2.000000,0.995808,0.995808,0.995808
5443,2.000000,2.000000,1.000000,1.000000,1.000000
5439,3.889031,4.000000,0.972258,0.971934,0.972582
5241,1.999985,2.000000,0.999992,0.999992,0.999992
5201,2.000000,2.000000,1.000000,1.000000,1.000000
5133,1.920374,2.000000,0.960187,0.960187,0.960187
