from,to,distance
11799,16346,1.000000
918,16943,1.000000
20012,21034,1.000000
8908,20431,1.000000
6050,15756,1.000000
2259,6434,1.000000
3321,6207,1.000000
10230,10610,1.000000
2644,2875,1.000000
64,10427,1.000000
3035,6433,1.000000
13017,16193,1.000000
9465,20981,1.000000
2913,5931,1.000000
3634,23990,1.000000
2515,8789,1.000000
8857,19640,1.000000
3521,21423,1.000000
142,17286,1.000000
17799,18699,1.000000
3566,17418,1.000000
5457,16027,1.000000
6395,22721,1.000000
16272,18498,1.000000
14761,22427,1.000000
8872,23978,1.000000
3405,17239,1.000000
1111,14198,1.000000
5701,17728,1.000000
11581,11582,1.000000
19017,21420,1.000000
6998,8769,1.000000
12694,14945,1.000000
3711,5219,1.000000
4338,15795,1.000000
6823,23656,1.000000
1200,16494,1.000000
3435,17224,1.000000
5214,19030,1.000000
2374,20875,1.000000
20548,20594,1.000000
12586,15235,1.000000
268,9590,1.000000
3269,15875,1.000000
4904,14882,1.000000
13993,15539,0.999999
13944,15100,0.999999
4609,8232,0.999999
15444,5255,0.999992
5255,15444,0.999992
16378,15195,0.999982
15195,16378,0.999982
15776,15062,0.999942
15062,15776,0.999942
14895,16163,0.999902
16163,14895,0.999902
7631,8720,0.998098
8720,7631,0.998098
23503,17137,0.997976
17137,23503,0.997976
977,7794,0.997593
7794,977,0.997593
9947,10381,0.997558
10381,9947,0.997558
11866,5636,0.997439
5636,11866,0.997439
10610,3150,0.997066
10230,3150,0.997066
3150,10230,0.997066
3150,10610,0.997066
13893,363,0.997043
363,13893,0.997043
9969,10092,0.997011
10092,9969,0.997011
20893,19733,0.996952
19733,20893,0.996952
4736,11389,0.996861
11389,4736,0.996861
11729,10275,0.996836
10275,11729,0.996836
12989,13415,0.996788
13415,12989,0.996788
9717,10155,0.996548
10155,9717,0.996548
5469,22186,0.995808
22186,5469,0.995808
10198,11440,0.995622
11440,10198,0.995622
1433,10399,0.995602
10399,1433,0.995602
3921,10334,0.995349
10334,3921,0.995349
2923,23780,0.995027
23780,2923,0.995027
22245,3150,0.994904
22245,10230,0.994793
10267,10784,0.994376
10784,10267,0.994376
11031,11018,0.993813
11018,11031,0.993813
4381,9701,0.993359
9701,4381,0.993359
3997,17377,0.993215
17377,3997,0.993215
10391,1666,0.992540
1666,10391,0.992540
11628,11410,0.992469
11410,11628,0.992469
11988,13112,0.991984
13112,11988,0.991984
9684,22221,0.991524
22221,9684,0.991524
11678,3433,0.991027
3433,11678,0.991027
835,13734,0.990838
13734,835,0.990838
22068,11535,0.990353
11535,22068,0.990353
9941,10228,0.989959
10228,9941,0.989959
11643,11558,0.989780
11558,11643,0.989780
15465,16038,0.989388
16038,15465,0.989388
9746,9499,0.988798
9499,9746,0.988798
6114,9847,0.988638
9847,6114,0.988638
21780,5721,0.988457
5721,21780,0.988457
10815,816,0.988406
816,10815,0.988406
9580,3239,0.988254
3239,9580,0.988254
8348,9397,0.988060
9397,8348,0.988060
3914,9562,0.987798
9562,3914,0.987798
13714,11782,0.987728
11782,13714,0.987728
3722,910,0.987517
910,3722,0.987517
11818,12824,0.987206
12824,11818,0.987206
10936,4745,0.986957
4745,10936,0.986957
4406,11174,0.986842
11174,4406,0.986842
2449,6456,0.986804
6456,2449,0.986804
11432,9709,0.986660
9709,11432,0.986660
21881,10802,0.986489
10802,21881,0.986489
10153,9986,0.986451
9986,10153,0.986451
22419,5929,0.986268
5929,22419,0.986268
9568,11253,0.985782
11253,9568,0.985782
4033,10452,0.985773
10452,4033,0.985773
10222,22182,0.985715
22182,10222,0.985715
13577,22523,0.985143
22523,13577,0.985143
22373,22523,0.985135
22523,22373,0.985135
14022,11991,0.985039
11991,14022,0.985039
215,17726,0.984986
17726,215,0.984986
10937,3219,0.984868
3219,10937,0.984868
16817,17492,0.984820
