component_id,mean,sum,count,min,max
16090,1.999999,2.000000,1.000000,1.000000,1.000000
15055,2.000000,2.000000,1.000000,1.000000,1.000000
14776,1.993904,2.000000,0.996952,0.996952,0.996952
14463,1.968080,2.000000,0.984040,0.984040,0.984040
12465,1.921838,2.000000,0.960919,0.960919,0.960919
12147,1.923270,2.000000,0.961635,0.961635,0.961635
12080,1.924322,2.000000,0.962161,0.962161,0.962161
12012,1.925225,2.000000,0.962613,0.962613,0.962613
11825,1.935461,2.000000,0.967730,0.967730,0.967730
11745,1.929894,2.000000,0.964947,0.964947,0.964947
11698,5.919445,6.000000,0.986574,0.979861,1.000000
11689,1.995952,2.000000,0.997976,0.997976,0.997976
11644,5.841197,6.000000,0.973533,0.962559,0.979971
11407,1.925558,2.000000,0.962779,0.962779,0.962779
11379,5.788234,6.000000,0.964706,0.960006,0.969608
11369,1.969640,2.000000,0.984820,0.984820,0.984820
11358,1.923273,2.000000,0.961636,0.961636,0.961636
10831,2.000000,2.000000,1.000000,1.000000,1.000000
10322,1.922649,2.000000,0.961325,0.961325,0.961325
4980,1.984939,2.000000,0.992469,0.992469,0.992469
4875,1.959612,2.000000,0.979806,0.979806,0.979806
4600,1.987627,2.000000,0.993813,0.993813,0.993813
4536,1.948286,2.000000,0.974143,0.974143,0.974143
4483,1.939821,2.000000,0.969910,0.969910,0.969910
4339,1.955989,2.000000,0.977995,0.977995,0.977995
4206,1.980706,2.000000,0.990353,0.990353,0.990353
4187,3.900406,4.000000,0.975101,0.960423,0.989780
4184,1.922599,2.000000,0.961299,0.961299,0.961299
4169,1.923032,2.000000,0.961516,0.961516,0.961516
4127,1.928293,2.000000,0.964147,0.964147,0.964147
4081,1.927267,2.000000,0.963634,0.963634,0.963634
4005,1.956841,2.000000,0.978420,0.978420,0.978420
3998,1.972977,2.000000,0.986489,0.986489,0.986489
3977,1.962685,2.000000,0.981343,0.981343,0.981343
3878,1.957239,2.000000,0.978619,0.978619,0.978619
3727,1.943547,2.000000,0.971774,0.971774,0.971774
3598,1.968656,2.000000,0.984328,0.984328,0.984328
3400,1.993671,2.000000,0.996836,0.996836,0.996836
3396,1.957336,2.000000,0.978668,0.978668,0.978668
3392,1.988752,2.000000,0.994376,0.994376,0.994376
3355,5.979170,6.000000,0.996528,0.994793,1.000000
3348,1.971431,2.000000,0.985715,0.985715,0.985715
3324,5.864027,6.000000,0.977338,0.968114,0.995622
3288,3.910439,4.000000,0.977610,0.974018,0.981202
3242,1.942542,2.000000,0.971271,0.971271,0.971271
3175,1.931529,2.000000,0.965764,0.965764,0.965764
3116,1.972902,2.000000,0.986451,0.986451,0.986451
3099,1.994022,2.000000,0.997011,0.997011,0.997011
3089,1.955618,2.000000,0.977809,0.977809,0.977809
3077,1.995115,2.000000,0.997558,0.997558,0.997558
3071,1.979918,2.000000,0.989959,0.989959,0.989959
3061,1.950816,2.000000,0.975408,0.975408,0.975408
3042,1.937230,2.000000,0.968615,0.968615,0.968615
2876,1.940605,2.000000,0.970303,0.970303,0.970303
2848,1.993096,2.000000,0.996548,0.996548,0.996548
2840,1.973320,2.000000,0.986660,0.986660,0.986660
2816,1.929739,2.000000,0.964870,0.964870,0.964870
2815,1.983049,2.000000,0.991524,0.991524,0.991524
2803,1.940935,2.000000,0.970467,0.970467,0.970467
2791,1.938966,2.000000,0.969483,0.969483,0.969483
2769,1.938408,2.000000,0.969204,0.969204,0.969204
2699,1.971564,2.000000,0.985782,0.985782,0.985782
2630,1.977596,2.000000,0.988798,0.988798,0.988798
2596,2.000000,2.000000,1.000000,1.000000,1.000000
1047,1.976119,2.000000,0.988060,0.988060,0.988060
25,1.926434,2.000000,0.963217,0.963217,0.963217
286,1.946935,2.000000,0.973468,0.973468,0.973468
330,1.996195,2.000000,0.998098,0.998098,0.998098
1290,1.961432,2.000000,0.980716,0.980716,0.980716
1347,2.000000,2.000000,1.000000,1.000000,1.000000
1991,2.000000,2.000000,1.000000,1.000000,1.000000
2006,2.000000,2.000000,1.000000,1.000000,1.000000
