from,to,distance
scene_classification_clean/data/forest/1692.jpg,scene_classification_clean/data/forest/6317.jpg,0.763454
scene_classification_clean/data/glacier/11970.jpg,scene_classification_clean/data/glacier/11280.jpg,0.763428
scene_classification_clean/data/buildings/22210.jpg,scene_classification_clean/data/buildings/12590.jpg,0.763426
scene_classification_clean/data/forest/16149.jpg,scene_classification_clean/data/forest/14174.jpg,0.763397
scene_classification_clean/data/street/5757.jpg,scene_classification_clean/data/street/18217.jpg,0.763396
scene_classification_clean/data/buildings/13111.jpg,scene_classification_clean/data/buildings/12692.jpg,0.763382
scene_classification_clean/data/glacier/20287.jpg,scene_classification_clean/data/glacier/22212.jpg,0.763376
scene_classification_clean/data/forest/9944.jpg,scene_classification_clean/data/forest/1481.jpg,0.763375
scene_classification_clean/data/forest/1481.jpg,scene_classification_clean/data/forest/9944.jpg,0.763375
scene_classification_clean/data/sea/3841.jpg,scene_classification_clean/data/sea/11698.jpg,0.763326
scene_classification_clean/data/buildings/2356.jpg,scene_classification_clean/data/buildings/11620.jpg,0.763302
scene_classification_clean/data/glacier/11774.jpg,scene_classification_clean/data/glacier/14232.jpg,0.763292
scene_classification_clean/data/buildings/19249.jpg,scene_classification_clean/data/forest/6040.jpg,0.763258
scene_classification_clean/data/buildings/12427.jpg,scene_classification_clean/data/buildings/22987.jpg,0.763231
scene_classification_clean/data/buildings/20629.jpg,scene_classification_clean/data/buildings/17825.jpg,0.763193
scene_classification_clean/data/buildings/13352.jpg,scene_classification_clean/data/street/20270.jpg,0.763185
scene_classification_clean/data/sea/21364.jpg,scene_classification_clean/data/sea/17893.jpg,0.763164
scene_classification_clean/data/forest/5325.jpg,scene_classification_clean/data/forest/23694.jpg,0.763161
scene_classification_clean/data/forest/1004.jpg,scene_classification_clean/data/forest/11806.jpg,0.763130
scene_classification_clean/data/sea/17760.jpg,scene_classification_clean/data/buildings/22987.jpg,0.763128
scene_classification_clean/data/street/16652.jpg,scene_classification_clean/data/sea/7259.jpg,0.763125
scene_classification_clean/data/street/22368.jpg,scene_classification_clean/data/street/23573.jpg,0.763109
scene_classification_clean/data/glacier/6345.jpg,scene_classification_clean/data/glacier/6177.jpg,0.762985
scene_classification_clean/data/sea/19122.jpg,scene_classification_clean/data/sea/17543.jpg,0.762963
scene_classification_clean/data/forest/5769.jpg,scene_classification_clean/data/forest/11931.jpg,0.762900
scene_classification_clean/data/buildings/7637.jpg,scene_classification_clean/data/buildings/12942.jpg,0.762892
scene_classification_clean/data/street/15138.jpg,scene_classification_clean/data/street/1385.jpg,0.762868
scene_classification_clean/data/glacier/15127.jpg,scene_classification_clean/data/glacier/10491.jpg,0.762846
scene_classification_clean/data/forest/10138.jpg,scene_classification_clean/data/forest/22177.jpg,0.762846
scene_classification_clean/data/glacier/22687.jpg,scene_classification_clean/data/glacier/6335.jpg,0.762815
scene_classification_clean/data/buildings/22267.jpg,scene_classification_clean/data/buildings/3912.jpg,0.762811
scene_classification_clean/data/forest/12814.jpg,scene_classification_clean/data/forest/1063.jpg,0.762810
scene_classification_clean/data/glacier/12122.jpg,scene_classification_clean/data/glacier/6345.jpg,0.762715
scene_classification_clean/data/buildings/9517.jpg,scene_classification_clean/data/buildings/18099.jpg,0.762662
scene_classification_clean/data/buildings/15626.jpg,scene_classification_clean/data/mountain/9073.jpg,0.762662
scene_classification_clean/data/street/8354.jpg,scene_classification_clean/data/street/23346.jpg,0.762658
scene_classification_clean/data/street/10097.jpg,scene_classification_clean/data/street/11851.jpg,0.762633
scene_classification_clean/data/buildings/16889.jpg,scene_classification_clean/data/buildings/16183.jpg,0.762628
