from,to,distance
scene_classification_clean/data/glacier/11616.jpg,scene_classification_clean/data/glacier/8196.jpg,0.968601
scene_classification_clean/data/glacier/8196.jpg,scene_classification_clean/data/glacier/11616.jpg,0.968601
scene_classification_clean/data/glacier/11734.jpg,scene_classification_clean/data/glacier/460.jpg,0.959926
scene_classification_clean/data/glacier/460.jpg,scene_classification_clean/data/glacier/11734.jpg,0.959926
scene_classification_clean/data/mountain/15235.jpg,scene_classification_clean/data/mountain/5042.jpg,0.959697
scene_classification_clean/data/mountain/5042.jpg,scene_classification_clean/data/mountain/15235.jpg,0.959697
scene_classification_clean/data/mountain/1454.jpg,scene_classification_clean/data/mountain/6267.jpg,0.959649
scene_classification_clean/data/mountain/6267.jpg,scene_classification_clean/data/mountain/1454.jpg,0.959649
scene_classification_clean/data/forest/21990.jpg,scene_classification_clean/data/forest/22819.jpg,0.959367
scene_classification_clean/data/forest/22819.jpg,scene_classification_clean/data/forest/21990.jpg,0.959367
scene_classification_clean/data/forest/16002.jpg,scene_classification_clean/data/forest/1219.jpg,0.959248
scene_classification_clean/data/forest/1219.jpg,scene_classification_clean/data/forest/16002.jpg,0.959248
scene_classification_clean/data/forest/12034.jpg,scene_classification_clean/data/forest/4005.jpg,0.959216
scene_classification_clean/data/forest/4005.jpg,scene_classification_clean/data/forest/12034.jpg,0.959216
scene_classification_clean/data/mountain/13129.jpg,scene_classification_clean/data/mountain/23975.jpg,0.959176
scene_classification_clean/data/mountain/23975.jpg,scene_classification_clean/data/mountain/13129.jpg,0.959176
scene_classification_clean/data/forest/24098.jpg,scene_classification_clean/data/forest/2381.jpg,0.959153
scene_classification_clean/data/forest/2381.jpg,scene_classification_clean/data/forest/24098.jpg,0.959153
scene_classification_clean/data/sea/17807.jpg,scene_classification_clean/data/sea/11081.jpg,0.959028
scene_classification_clean/data/sea/11081.jpg,scene_classification_clean/data/sea/17807.jpg,0.959028
scene_classification_clean/data/mountain/12066.jpg,scene_classification_clean/data/mountain/1567.jpg,0.958964
scene_classification_clean/data/mountain/1567.jpg,scene_classification_clean/data/mountain/12066.jpg,0.958964
scene_classification_clean/data/buildings/9699.jpg,scene_classification_clean/data/buildings/19830.jpg,0.958928
scene_classification_clean/data/buildings/19830.jpg,scene_classification_clean/data/buildings/9699.jpg,0.958928
scene_classification_clean/data/glacier/12248.jpg,scene_classification_clean/data/glacier/17936.jpg,0.958852
scene_classification_clean/data/glacier/17936.jpg,scene_classification_clean/data/glacier/12248.jpg,0.958852
scene_classification_clean/data/glacier/11616.jpg,scene_classification_clean/data/glacier/13228.jpg,0.958782
scene_classification_clean/data/glacier/13228.jpg,scene_classification_clean/data/glacier/11616.jpg,0.958782
scene_classification_clean/data/sea/18136.jpg,scene_classification_clean/data/sea/1282.jpg,0.958365
scene_classification_clean/data/sea/1282.jpg,scene_classification_clean/data/sea/18136.jpg,0.958365
scene_classification_clean/data/forest/3617.jpg,scene_classification_clean/data/forest/16007.jpg,0.958251
scene_classification_clean/data/forest/16007.jpg,scene_classification_clean/data/forest/3617.jpg,0.958251
scene_classification_clean/data/glacier/21804.jpg,scene_classification_clean/data/glacier/12531.jpg,0.958150
